datetime,wind_speed,temperature_2m_c,wind_direction_10m_deg,wind_gust_10m_ms,relative_humidity_2m
2021-01-01T00:00,1.3,1.4,122,4.9,96
2021-01-01T01:00,1.06,1.7,131,4.5,95
2021-01-01T02:00,1.08,1.2,146,4.2,95
2021-01-01T03:00,1.14,1.2,165,3.9,92
2021-01-01T04:00,1.43,1.8,168,4.5,91
2021-01-01T05:00,1.61,1.7,173,5,90
2021-01-01T06:00,2.24,2.1,170,6.4,89
2021-01-01T07:00,2.96,2.4,168,8.1,90
2021-01-01T08:00,3.35,3.3,170,8.8,86
2021-01-01T09:00,3.26,3.7,162,9,87
2021-01-01T10:00,3.22,3.9,154,9,88
2021-01-01T11:00,3.38,4,146,9.5,90
2021-01-01T12:00,2.91,2.9,94,10.6,96
2021-01-01T13:00,3.2,3.1,90,8.1,96
2021-01-01T14:00,3.2,3.6,104,9,92
2021-01-01T15:00,2.67,3.4,103,8.4,92
2021-01-01T16:00,1.8,3,90,7.1,94
2021-01-01T17:00,1.17,3,70,5.5,95
2021-01-01T18:00,0.94,2.7,58,4.5,96
2021-01-01T19:00,0.51,2.6,11,3.9,97
2021-01-01T20:00,1.26,2.6,18,3.6,98
2021-01-01T21:00,1.53,2.4,32,3.6,99
2021-01-01T22:00,1.12,2.5,63,3.6,99
2021-01-01T23:00,1.5,2.8,86,4.4,98
2021-01-02T00:00,1.39,1.4,30,5.1,100
2021-01-02T01:00,1.49,1.6,48,4.1,100
2021-01-02T02:00,1.21,1.4,66,4.4,99
2021-01-02T03:00,1,1.2,90,4.1,100
2021-01-02T04:00,1.3,1.1,113,5.3,100
2021-01-02T05:00,1.9,1.4,90,5.7,99
2021-01-02T06:00,1.75,1.6,121,6.2,99
2021-01-02T07:00,1.08,1.8,112,5.8,97
2021-01-02T08:00,2.52,2.3,83,11.1,96
2021-01-02T09:00,2.43,2.2,81,7.6,99
2021-01-02T10:00,1.61,2.9,83,9.6,99
2021-01-02T11:00,1.36,2.8,73,9.4,100
2021-01-02T12:00,1.43,2.3,78,5.5,98
2021-01-02T13:00,1.55,2.8,75,5,95
2021-01-02T14:00,1.93,2.7,69,5.1,98
2021-01-02T15:00,1.61,2.5,60,5.1,100
2021-01-02T16:00,0.92,2.3,41,4.3,100
2021-01-02T17:00,0.99,2.2,45,3.6,100
2021-01-02T18:00,0.36,1.8,304,3.5,99
2021-01-02T19:00,0.81,1.9,83,7.5,98
2021-01-02T20:00,1.43,1.8,102,5.1,100
2021-01-02T21:00,0.99,2.3,135,5.5,97
2021-01-02T22:00,1.28,3.2,141,5.8,93
2021-01-02T23:00,1.21,3.4,156,5.9,92
2021-01-03T00:00,1.61,2.5,150,5.7,93
2021-01-03T01:00,1.14,2.8,128,5.7,91
2021-01-03T02:00,1.14,3,105,4.8,92
2021-01-03T03:00,1.36,2.2,107,4.5,94
2021-01-03T04:00,1.3,1.8,94,4.3,94
2021-01-03T05:00,1.49,1.5,110,3.6,94
2021-01-03T06:00,1.48,1.3,118,3.4,94
2021-01-03T07:00,1.72,1,126,3.7,94
2021-01-03T08:00,0.81,2.7,150,3.8,92
2021-01-03T09:00,1.58,4,162,4.8,88
2021-01-03T10:00,1.4,4.7,184,5.2,83
2021-01-03T11:00,0.86,5.6,216,4.8,74
2021-01-03T12:00,1.49,6.4,160,3.5,65
2021-01-03T13:00,0.86,6.3,144,4.2,64
2021-01-03T14:00,0.99,5.7,45,3.1,67
2021-01-03T15:00,1.14,4.8,75,3,75
2021-01-03T16:00,1.2,3.5,95,3.3,82
2021-01-03T17:00,1.32,3.6,99,3.5,82
2021-01-03T18:00,1.08,2.8,112,3.6,87
2021-01-03T19:00,1.13,1.6,135,3.5,91
2021-01-03T20:00,1.22,1.6,171,3.9,90
2021-01-03T21:00,1.08,1.4,158,3.8,90
2021-01-03T22:00,1.22,2.1,145,6.2,89
2021-01-03T23:00,1,1.7,143,6.1,93
2021-01-04T00:00,1.84,0.3,158,4.1,93
2021-01-04T01:00,1.6,-0.6,184,4.1,91
2021-01-04T02:00,1.33,-1.2,193,3.6,93
2021-01-04T03:00,1.24,-1,194,3.5,93
2021-01-04T04:00,1.46,-1.3,196,3.6,93
2021-01-04T05:00,1.41,-0.3,188,3.6,91
2021-01-04T06:00,1.22,0.3,171,3,88
2021-01-04T07:00,1.35,0.8,132,3.2,87
2021-01-04T08:00,0.8,2.1,90,3.2,88
2021-01-04T09:00,1.21,3,114,3.6,85
2021-01-04T10:00,1.72,3.9,144,4.8,80
2021-01-04T11:00,1.61,4.7,150,5.2,72
2021-01-04T12:00,1.39,5.2,150,4.8,65
2021-01-04T13:00,1.44,5.5,124,5.5,64
2021-01-04T14:00,1.3,4.3,94,5.4,73
2021-01-04T15:00,0.78,3.3,50,3.8,83
2021-01-04T16:00,1.04,1.9,17,2.6,93
2021-01-04T17:00,1.32,0.7,351,2.6,98
2021-01-04T18:00,0.99,0.9,315,2.5,100
2021-01-04T19:00,0.64,0.2,231,1.8,100
2021-01-04T20:00,0.36,-0.2,214,1.7,100
2021-01-04T21:00,0.72,-1.5,214,2.3,98
2021-01-04T22:00,1.06,-2,221,3,97
2021-01-04T23:00,0.94,-3,212,3,95
2021-01-05T00:00,1.03,-2,209,2.9,90
2021-01-05T01:00,0.86,-2.8,216,3.1,91
2021-01-05T02:00,0.5,-3.3,217,2.9,91
2021-01-05T03:00,0.58,-2.6,211,2.1,90
2021-01-05T04:00,0.92,-0.6,193,2.2,80
2021-01-05T05:00,1.08,0.5,112,3,77
2021-01-05T06:00,1.3,-0.2,58,4,90
2021-01-05T07:00,1.14,-0.1,52,4.1,95
2021-01-05T08:00,1.35,-0.5,48,5.3,99
2021-01-05T09:00,1.56,-0.5,45,6.4,100
