datetime,wind_speed,wind_deg,temperature_2m_c,wind_direction_10m_deg,wind_gust_10m_ms,relative_humidity_2m
2022-04-06 09:00:00,2.05,,11.2,43.0,6.0,60.0
2022-04-06 10:00:00,2.2,,11.9,51.0,6.6,60.0
2022-04-06 11:00:00,2.58,,12.9,54.0,7.4,55.0
2022-04-06 12:00:00,3.19,,12.2,58.0,8.7,66.0
2022-04-06 13:00:00,3.16,,12.8,55.0,9.0,62.0
2022-04-06 14:00:00,3.0,,13.1,53.0,8.8,57.0
2022-04-06 15:00:00,2.21,,13.0,72.0,8.4,51.0
2022-04-06 16:00:00,1.25,,12.0,61.0,6.4,41.0
2022-04-06 17:00:00,0.81,,10.6,30.0,3.6,60.0
2022-04-06 18:00:00,1.0,,8.4,307.0,2.5,74.0
2022-04-06 19:00:00,1.65,,7.6,284.0,4.3,85.0
2022-04-06 20:00:00,0.9,,7.3,270.0,4.1,87.0
2022-04-06 21:00:00,0.82,,7.2,256.0,2.6,84.0
2022-04-06 22:00:00,0.85,,6.9,249.0,2.6,80.0
2022-04-06 23:00:00,1.08,,6.1,236.0,2.9,79.0
2022-04-07 00:00:00,1.48,,5.3,242.0,2.8,84.0
2022-04-07 01:00:00,1.0,,5.3,233.0,3.7,80.0
2022-04-07 02:00:00,1.66,,3.9,245.0,4.7,83.0
2022-04-07 03:00:00,1.61,,3.4,240.0,5.0,82.0
2022-04-07 04:00:00,1.63,,2.3,227.0,4.6,89.0
2022-04-07 05:00:00,1.56,,1.7,220.0,4.4,92.0
2022-04-07 06:00:00,1.64,,4.3,218.0,4.1,83.0
2022-04-07 07:00:00,0.98,,8.7,204.0,4.1,68.0
2022-04-07 08:00:00,0.67,,11.4,207.0,3.3,54.0
2022-04-07 09:00:00,0.85,,13.8,225.0,3.6,48.0
2022-04-07 10:00:00,1.52,,15.7,293.0,4.9,42.0
2022-04-07 11:00:00,2.11,,16.4,265.0,6.1,42.0
2022-04-07 12:00:00,2.69,,16.7,239.0,9.6,40.0
2022-04-07 13:00:00,4.18,,15.8,228.0,10.0,45.0
2022-04-07 14:00:00,4.69,,14.2,220.0,11.4,49.0
2022-04-07 15:00:00,4.89,,13.2,211.0,12.0,52.0
2022-04-07 16:00:00,4.84,,12.3,210.0,12.2,54.0
2022-04-07 17:00:00,6.3,,10.8,216.0,15.8,58.0
2022-04-07 18:00:00,7.32,,9.3,219.0,18.0,69.0
2022-04-07 19:00:00,7.85,,9.7,223.0,19.3,72.0
2022-04-07 20:00:00,7.93,,9.9,222.0,19.4,73.0
2022-04-07 21:00:00,7.86,,9.8,222.0,20.1,75.0
2022-04-07 22:00:00,7.51,,10.5,228.0,19.7,71.0
2022-04-07 23:00:00,6.93,,10.4,226.0,18.9,70.0
2022-04-08 00:00:00,6.9,,9.3,219.0,17.4,74.0
2022-04-08 01:00:00,6.44,,9.2,222.0,17.1,73.0
2022-04-08 02:00:00,5.8,,9.1,216.0,15.6,74.0
2022-04-08 03:00:00,5.85,,9.1,213.0,14.1,75.0
2022-04-08 04:00:00,6.16,,9.2,212.0,14.4,76.0
2022-04-08 05:00:00,6.84,,10.0,207.0,16.2,73.0
2022-04-08 06:00:00,6.08,,11.1,205.0,16.4,70.0
2022-04-08 07:00:00,5.34,,11.5,193.0,14.8,70.0
2022-04-08 08:00:00,5.0,,11.5,192.0,13.6,70.0
2022-04-08 09:00:00,4.23,,12.4,187.0,13.0,68.0
2022-04-08 10:00:00,4.97,,13.5,205.0,13.0,64.0
2022-04-08 11:00:00,6.54,,14.9,219.0,16.5,59.0
2022-04-08 12:00:00,7.8,,13.0,211.0,17.7,65.0
2022-04-08 13:00:00,7.85,,13.2,214.0,20.1,63.0
2022-04-08 14:00:00,8.71,,13.6,222.0,23.0,62.0
2022-04-08 15:00:00,6.88,,12.4,213.0,21.9,70.0
2022-04-08 16:00:00,4.79,,12.0,206.0,18.3,74.0
2022-04-08 17:00:00,5.15,,11.2,204.0,15.0,77.0
2022-04-08 18:00:00,9.62,,11.2,223.0,24.2,72.0
2022-04-08 19:00:00,8.71,,11.4,228.0,25.5,69.0
2022-04-08 20:00:00,8.85,,11.1,223.0,22.5,70.0
2022-04-08 21:00:00,7.62,,10.7,218.0,22.4,72.0
2022-04-08 22:00:00,7.82,,10.5,219.0,20.5,73.0
2022-04-08 23:00:00,7.36,,10.2,217.0,19.6,75.0
2022-04-09 00:00:00,6.36,,9.7,217.0,18.4,73.0
2022-04-09 01:00:00,8.28,,10.1,227.0,21.0,71.0
2022-04-09 02:00:00,7.14,,10.3,226.0,21.0,72.0
2022-04-09 03:00:00,6.56,,10.3,218.0,18.2,73.0
2022-04-09 04:00:00,6.1,,10.3,215.0,16.5,73.0
2022-04-09 05:00:00,5.24,,10.0,209.0,15.3,74.0
2022-04-09 06:00:00,5.55,,10.2,214.0,14.0,71.0
2022-04-09 07:00:00,4.83,,11.0,214.0,14.0,67.0
2022-04-09 08:00:00,4.96,,12.4,222.0,12.1,61.0
2022-04-09 09:00:00,4.42,,13.5,232.0,12.0,58.0
2022-04-09 10:00:00,4.14,,13.9,250.0,10.8,51.0
2022-04-09 11:00:00,2.91,,14.3,254.0,10.4,51.0
2022-04-09 12:00:00,3.38,,15.6,214.0,8.0,37.0
2022-04-09 13:00:00,3.47,,15.3,229.0,8.8,31.0
2022-04-09 14:00:00,2.06,,13.9,219.0,8.6,42.0
2022-04-09 15:00:00,1.52,,11.3,337.0,6.0,55.0
2022-04-09 16:00:00,2.7,,10.6,309.0,7.2,53.0
2022-04-09 17:00:00,5.32,,4.4,86.0,15.9,84.0
2022-04-09 18:00:00,4.95,,3.0,76.0,14.4,89.0
2022-04-09 19:00:00,3.44,,2.0,98.0,12.7,96.0
2022-04-09 20:00:00,3.3,,0.9,90.0,10.2,100.0
2022-04-09 21:00:00,1.06,,1.2,229.0,8.9,93.0
2022-04-09 22:00:00,1.94,,1.6,215.0,4.7,84.0
2022-04-09 23:00:00,1.42,,1.7,219.0,4.8,83.0
2022-04-10 00:00:00,0.92,,0.8,283.0,4.5,90.0
2022-04-10 01:00:00,1.77,,0.0,286.0,4.7,90.0
2022-04-10 02:00:00,1.49,,-0.5,250.0,5.0,90.0
2022-04-10 03:00:00,1.28,,-1.2,231.0,4.2,90.0
2022-04-10 04:00:00,1.28,,-1.5,231.0,3.9,88.0
2022-04-10 05:00:00,1.53,,-1.3,238.0,4.2,83.0
2022-04-10 06:00:00,1.84,,1.4,241.0,4.2,79.0
2022-04-10 07:00:00,1.43,,4.6,258.0,4.3,63.0
2022-04-10 08:00:00,1.3,,6.1,293.0,4.6,53.0
2022-04-10 09:00:00,1.28,,7.4,321.0,5.0,43.0
2022-04-10 10:00:00,1.3,,8.5,356.0,5.3,40.0
2022-04-10 11:00:00,1.14,,9.4,15.0,5.4,38.0
2022-04-10 12:00:00,1.12,,10.0,10.0,5.1,34.0
2022-04-10 13:00:00,1.0,,10.6,360.0,5.0,34.0
2022-04-10 14:00:00,1.0,,10.6,6.0,4.8,34.0
2022-04-10 15:00:00,1.33,,10.4,13.0,4.8,35.0
2022-04-10 16:00:00,1.55,,9.9,15.0,4.9,38.0
2022-04-10 17:00:00,0.73,,8.8,344.0,4.6,54.0
2022-04-10 18:00:00,0.98,,7.9,294.0,2.6,45.0
2022-04-10 19:00:00,0.28,,5.7,225.0,2.1,59.0
2022-04-10 20:00:00,1.0,,4.6,217.0,2.2,58.0
2022-04-10 21:00:00,1.35,,1.7,222.0,3.3,69.0
2022-04-10 22:00:00,1.49,,-0.6,222.0,3.8,82.0
2022-04-10 23:00:00,1.77,,-1.5,223.0,4.2,88.0
2022-04-11 00:00:00,0.99,,-1.3,225.0,4.3,85.0
2022-04-11 01:00:00,1.35,,-0.4,228.0,3.7,83.0
2022-04-11 02:00:00,1.14,,-0.5,232.0,3.6,83.0
2022-04-11 03:00:00,0.99,,-0.4,225.0,3.4,80.0
2022-04-11 04:00:00,0.57,,-0.5,225.0,3.1,74.0
2022-04-11 05:00:00,0.78,,0.1,220.0,2.7,65.0
2022-04-11 06:00:00,1.06,,2.9,229.0,3.0,65.0
2022-04-11 07:00:00,0.32,,8.6,252.0,2.9,58.0
2022-04-11 08:00:00,0.4,,10.8,360.0,2.6,35.0
2022-04-11 09:00:00,0.5,,12.2,360.0,3.3,32.0
2022-04-11 10:00:00,0.71,,13.3,8.0,3.9,32.0
2022-04-11 11:00:00,1.2,,14.1,5.0,4.9,34.0
2022-04-11 12:00:00,1.57,,14.3,27.0,5.2,34.0
2022-04-11 13:00:00,1.33,,14.6,13.0,5.8,36.0
2022-04-11 14:00:00,1.12,,14.5,350.0,5.2,36.0
2022-04-11 15:00:00,1.26,,13.9,342.0,4.6,39.0
2022-04-11 16:00:00,0.92,,12.9,347.0,4.4,43.0
2022-04-11 17:00:00,0.63,,11.4,288.0,3.1,59.0
2022-04-11 18:00:00,1.53,,8.8,238.0,3.2,55.0
2022-04-11 19:00:00,2.28,,6.4,232.0,5.1,49.0
2022-04-11 20:00:00,2.05,,4.8,223.0,5.1,52.0
2022-04-11 21:00:00,2.05,,4.1,223.0,4.7,55.0
2022-04-11 22:00:00,2.14,,3.3,217.0,4.7,58.0
2022-04-11 23:00:00,2.06,,2.9,219.0,4.6,59.0
2022-04-12 00:00:00,1.77,,2.6,227.0,4.4,62.0
2022-04-12 01:00:00,1.63,,3.0,227.0,4.0,58.0
2022-04-12 02:00:00,1.13,,2.0,225.0,3.6,60.0
2022-04-12 03:00:00,0.57,,1.8,225.0,3.0,60.0
2022-04-12 04:00:00,0.28,,2.3,225.0,2.2,57.0
2022-04-12 05:00:00,0.28,,2.7,225.0,1.6,57.0
